,param_alpha,param_fit_prior,mean_test_score
14,7,True,0.7415998609681047
15,7,False,0.7415998609681047
10,5,True,0.7415998527665597
11,5,False,0.7415998527665597
12,6,True,0.7415997160481455
13,6,False,0.7415997160481455
16,8,True,0.7415996434216245
17,8,False,0.7415996434216245
8,4,True,0.7415993512258683
9,4,False,0.7415993512258683
19,9,False,0.7415992817371477
18,9,True,0.7415992817371477
6,3,True,0.7415983105870982
7,3,False,0.7415983105870982
4,2,True,0.7415973832533643
5,2,False,0.7415973832533643
0,0.1,True,0.7415942962483324
1,0.1,False,0.7415942962483324
3,0.01,False,0.7415941629359389
2,0.01,True,0.7415941629359389
22,0.0001,True,0.7415941287745141
23,0.0001,False,0.7415941287745141
20,0.001,True,0.7415941271078619
21,0.001,False,0.7415941271078619
