,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_test_score
2,25,auto,10,2000,2000,0.9617880543743083
109,100,auto,10,2000,1000,0.9617424926625574
56,50,auto,10,2000,2000,0.9616833553409341
110,100,auto,10,2000,2000,0.9616784873432556
1,25,auto,10,2000,1000,0.9616387172390348
28,25,sqrt,10,2000,1000,0.9616360724652567
83,50,sqrt,10,2000,2000,0.9616221097034726
82,50,sqrt,10,2000,1000,0.9615881240634868
27,25,sqrt,10,2000,500,0.9615389393260804
136,100,sqrt,10,2000,1000,0.9615242316142176
137,100,sqrt,10,2000,2000,0.9615152141257047
81,50,sqrt,10,2000,500,0.961508864534238
108,100,auto,10,2000,500,0.9614989767215798
0,25,auto,10,2000,500,0.9614282403522912
29,25,sqrt,10,2000,2000,0.96140671289316
55,50,auto,10,2000,1000,0.9613195702695471
54,50,auto,10,2000,500,0.9612786027195173
135,100,sqrt,10,2000,500,0.9612356264226257
38,25,sqrt,50,2000,2000,0.9604886478907367
91,50,sqrt,50,2000,1000,0.9604445412250376
65,50,auto,50,2000,2000,0.9604174591825515
118,100,auto,50,2000,1000,0.9603975195607543
11,25,auto,50,2000,2000,0.9603851249576734
92,50,sqrt,50,2000,2000,0.960380013438952
36,25,sqrt,50,2000,500,0.9603604742830306
119,100,auto,50,2000,2000,0.9603410512835472
117,100,auto,50,2000,500,0.9603323772548713
145,100,sqrt,50,2000,1000,0.9603135819067147
10,25,auto,50,2000,1000,0.9603006202836962
146,100,sqrt,50,2000,2000,0.9602729873699121
63,50,auto,50,2000,500,0.9602612342660872
37,25,sqrt,50,2000,1000,0.9601811230439387
90,50,sqrt,50,2000,500,0.9601740087952029
64,50,auto,50,2000,1000,0.9601352080073269
9,25,auto,50,2000,500,0.9601283853036708
144,100,sqrt,50,2000,500,0.9601181708289316
19,25,auto,100,2000,1000,0.9592695101105327
128,100,auto,100,2000,2000,0.9591072250269329
74,50,auto,100,2000,2000,0.9590544169026056
100,50,sqrt,100,2000,1000,0.9590486197373809
155,100,sqrt,100,2000,2000,0.9590181969376358
99,50,sqrt,100,2000,500,0.9590082528690613
101,50,sqrt,100,2000,2000,0.958992434780904
153,100,sqrt,100,2000,500,0.958989079933097
127,100,auto,100,2000,1000,0.958986742205427
20,25,auto,100,2000,2000,0.9589812131453346
47,25,sqrt,100,2000,2000,0.9589777846853647
154,100,sqrt,100,2000,1000,0.95893118459414
46,25,sqrt,100,2000,1000,0.9589206681517197
72,50,auto,100,2000,500,0.9588723940221471
45,25,sqrt,100,2000,500,0.9588332221654895
18,25,auto,100,2000,500,0.9588077336032799
73,50,auto,100,2000,1000,0.9587278416001264
126,100,auto,100,2000,500,0.9585104569227367
58,50,auto,10,4000,1000,0.941522585545101
3,25,auto,10,4000,500,0.9414485073242416
